Date and Time Started,2022-Apr-20 16:12:37
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,5.41254,2.55318,5.51641,2.22636,5.5727,1.65794,5.10875,0.906582,5.07551,0.358609,5.07551,0.124712,5.22108,0.0276595,5.30218,0.00348923,5.3125,0.000216169,5.3125,1.01727e-05,5.33847,1.27159e-06,5.33847,1.27159e-06,5.31767,1.27159e-06,5.36996,1.27159e-06,5.50529,1.27159e-06,5.38585,1.27159e-06,5.2512,1.27159e-06,5.33847,1.27159e-06,5.33325,1.27159e-06,5.33325,2.54317e-06,5.32286,2.54317e-05,5.32286,0.000411994,5.32286,0.00405254,5.33325,0.0293278,5.33325,0.135414,5.33847,0.373802,5.34369,0.887287,5.37525,1.38155,5.33325,1.85883,5.32805,2.28313,5.29704,2.65884,5.35942,2.67054,5.33847
125,2.56638,5.48869,2.13497,5.55005,1.79528,5.44492,0.941433,5.04737,0.571201,5.04737,0.208883,5.20119,0.0546731,5.35417,0.00928511,5.33847,0.000734976,5.3125,3.0518e-05,5.32286,1.27159e-06,5.31767,1.27159e-06,5.32805,1.27159e-06,5.32805,1.27159e-06,5.31767,1.27159e-06,5.43949,1.27159e-06,5.28167,1.27159e-06,5.24616,1.27159e-06,5.41254,1.27159e-06,5.40183,1.27159e-06,5.35942,6.35793e-06,5.33325,9.02825e-05,5.3125,0.00114443,5.32286,0.0101714,5.32805,0.0578088,5.34369,0.211349,5.36469,0.553206,5.36469,1.10821,5.36469,1.56438,5.34892,2.30238,5.35417,2.53658,5.32805,2.67054,5.32286,2.74435
123,5.45035,2.45119,5.60703,2.04006,5.45035,1.45169,5.17164,0.76456,5.01492,0.316099,5.17164,0.105182,5.26639,0.0213486,5.33847,0.00222782,5.3125,0.000120801,5.32286,8.9011e-06,5.31767,1.27159e-06,5.32286,1.27159e-06,5.30734,1.27159e-06,5.33325,1.27159e-06,5.32805,1.27159e-06,5.42329,1.27159e-06,5.28679,1.27159e-06,5.26132,1.27159e-06,5.33325,1.27159e-06,5.34892,1.27159e-06,5.30734,2.03454e-05,5.31767,0.000283563,5.31767,0.00297424,5.33325,0.0228542,5.32286,0.103763,5.34892,0.294106,5.37525,0.92705,5.35417,1.37945,5.33847,2.02945,5.33325,2.24835,5.34369,2.65625,5.32805,2.71704,5.39649
121,2.56758,5.45035,2.2642,5.58982,1.85504,5.46672,1.08186,5.07551,0.469785,5.19624,0.168562,5.23108,0.0447242,5.33325,0.00639099,5.33847,0.00047303,5.31767,1.5259e-05,5.31767,1.27159e-06,5.31767,1.27159e-06,5.33325,1.27159e-06,5.32805,1.27159e-06,5.42868,1.27159e-06,5.47219,1.27159e-06,5.2512,1.27159e-06,5.30734,1.27159e-06,5.36469,1.27159e-06,5.40183,1.27159e-06,5.30734,2.54317e-06,5.30734,4.19623e-05,5.36996,0.000860863,5.33847,0.00778973,5.31767,0.044316,5.32805,0.167945,5.35417,0.539596,5.34369,1.01078,5.34369,1.79587,5.35417,2.1217,5.3125,2.59196,5.33325,2.61429,5.34369,2.7279
119,5.45035,2.50631,5.5784,2.09564,5.31767,1.61004,5.21112,0.742018,5.13758,0.279935,5.30218,0.0835974,5.33325,0.0158452,5.30218,0.00149538,5.32805,8.2653e-05,5.33325,2.54317e-06,5.30734,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-06,5.33325,1.27159e-06,5.40718,1.27159e-06,5.35942,1.27159e-06,5.27657,1.27159e-06,5.34369,1.27159e-06,5.37525,1.27159e-06,5.40183,1.27159e-06,5.34892,1.27159e-06,5.30734,0.000119529,5.33325,0.00218458,5.33847,0.0169464,5.33847,0.0830688,5.35942,0.279706,5.35942,0.768216,5.36996,1.27808,5.35417,1.96873,5.33847,2.35297,5.35417,2.58827,5.35942,2.7279,5.32286
117,2.46892,5.50529,2.27363,5.53318,1.69815,5.43408,0.866315,5.11832,0.438866,5.04271,0.148114,5.26639,0.0338191,5.29704,0.00449505,5.33325,0.000303909,5.35942,8.9011e-06,5.30734,1.27159e-06,5.32805,1.27159e-06,5.3125,1.27159e-06,5.31767,1.27159e-06,5.33325,1.27159e-06,5.41254,1.27159e-06,5.28167,1.27159e-06,5.33325,1.27159e-06,5.30218,1.27159e-06,5.41254,1.27159e-06,5.35417,2.54317e-06,5.3125,1.65306e-05,5.34892,0.000508634,5.32286,0.00516772,5.32286,0.0338331,5.33325,0.148098,5.35417,0.432643,5.32805,0.903732,5.36996,1.49787,5.33847,1.92501,5.34892,2.55557,5.32805,2.67315,5.34369,2.75681
115,5.42868,2.2689,5.60128,1.79824,5.51641,1.37183,5.25626,0.716605,5.01953,0.230881,5.12793,0.0696969,5.29704,0.0127629,5.32805,0.00102744,5.33847,3.81476e-05,5.36996,1.27159e-06,5.3125,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.33847,1.27159e-06,5.46672,1.27159e-06,5.50529,1.27159e-06,5.26639,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-06,5.35417,1.27159e-06,5.33325,8.9011e-06,5.32286,0.000110628,5.36996,0.00139111,5.33325,0.0114519,5.32286,0.0642507,5.33847,0.252882,5.35417,0.584842,5.35417,1.47841,5.36996,1.94905,5.32805,2.14587,5.32805,2.51323,5.32286,2.7211,5.34369
113,2.48239,5.56702,2.25113,5.63015,1.35012,5.12793,0.923757,5.03805,0.378649,5.21112,0.128564,5.23108,0.0279278,5.32286,0.00339768,5.32805,0.000180565,5.33847,5.08634e-06,5.30734,1.27159e-06,5.33325,1.27159e-06,5.33847,1.27159e-06,5.33847,1.27159e-06,5.31767,1.27159e-06,5.49975,1.27159e-06,5.43408,1.27159e-06,5.3125,1.27159e-06,5.36996,1.27159e-06,5.40718,1.27159e-06,5.32286,1.27159e-06,5.31767,1.39874e-05,5.32286,0.000347143,5.34369,0.00356934,5.33847,0.0260662,5.36996,0.117737,5.34369,0.356758,5.33325,0.789312,5.33325,1.23838,5.38054,1.86773,5.33847,2.38378,5.32805,2.57485,5.34369,2.81944
111,5.48869,2.41008,5.58982,1.80358,5.51641,1.17954,5.04737,0.589895,5.04271,0.203991,5.21112,0.0550393,5.3125,0.00887439,5.33847,0.000764223,5.32286,2.16169e-05,5.32805,3.81476e-06,5.33325,1.27159e-06,5.31767,1.27159e-06,5.33325,1.27159e-06,5.33325,1.27159e-06,5.44492,1.27159e-06,5.42329,1.27159e-06,5.30734,1.27159e-06,5.30218,1.27159e-06,5.32805,1.27159e-06,5.34369,1.27159e-06,5.31767,1.27159e-06,5.33847,8.51962e-05,5.32286,0.000896468,5.33847,0.00902444,5.33325,0.0511838,5.32286,0.200663,5.33325,0.519476,5.32805,1.34084,5.35417,1.93868,5.34369,2.37136,5.29704,2.55557,5.34892,2.76799,5.40183
109,2.35907,5.55005,2.20835,5.54442,1.24857,5.36469,0.856398,5.01492,0.341691,5.09445,0.0982416,5.24112,0.022165,5.32805,0.00242491,5.33847,0.000102998,5.30734,2.54317e-06,5.35942,1.27159e-06,5.34369,1.27159e-06,5.33325,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.49422,1.27159e-06,5.42329,1.27159e-06,5.24112,1.27159e-06,5.34369,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-05,5.32286,0.000194553,5.33325,0.0026449,5.32286,0.0194044,5.33847,0.0917903,5.34892,0.3187,5.32286,0.800652,5.37525,1.48525,5.34369,1.78999,5.34369,2.29368,5.33325,2.66402,5.35417,2.78209
107,5.53879,2.37549,5.58982,1.55591,5.18637,1.14949,5.02878,0.46558,5.0897,0.186448,5.22608,0.0439307,5.29704,0.00618753,5.30218,0.000451413,5.37525,1.90738e-05,5.33847,1.27159e-06,5.31767,1.27159e-06,5.32805,1.27159e-06,5.31767,1.27159e-06,5.33325,1.27159e-06,5.37525,1.27159e-06,5.48318,1.27159e-06,5.2361,1.27159e-06,5.27148,1.27159e-06,5.40183,1.27159e-06,5.36469,1.27159e-06,5.32286,2.54317e-06,5.32286,3.0518e-05,5.32286,0.00064978,5.35942,0.00656647,5.30734,0.0393734,5.35417,0.170846,5.35417,0.523409,5.38054,0.878438,5.36996,1.73814,5.34892,2.00929,5.34892,2.50746,5.33847,2.74573,5.35942
105,2.42399,5.61857,2.14503,5.51641,1.57931,5.10875,0.620033,5.0708,0.29203,5.11832,0.0852694,5.31767,0.0153531,5.32286,0.001517,5.32805,6.10361e-05,5.3125,1.27159e-06,5.35417,1.27159e-06,5.33847,1.27159e-06,5.33325,1.27159e-06,5.35417,1.27159e-06,5.34369,1.27159e-06,5.49975,1.27159e-06,5.44492,1.27159e-06,5.30218,1.27159e-06,5.32286,1.27159e-06,5.40718,1.27159e-06,5.35942,1.27159e-06,5.35417,3.81476e-06,5.33847,0.000118257,5.32286,0.00198749,5.35417,0.0150823,5.3125,0.0758869,5.34892,0.267433,5.34892,0.612797,5.34892,1.23502,5.35417,1.97015,5.36469,2.2309,5.33847,2.59689,5.34892,2.85183
103,5.60128,2.41221,5.58982,1.78764,5.32286,0.888153,5.14727,0.439785,5.08496,0.165312,5.24112,0.0368874,5.3125,0.00500496,5.33847,0.000350958,5.32286,1.14443e-05,5.34369,1.27159e-06,5.33325,1.27159e-06,5.33325,1.27159e-06,5.33847,1.27159e-06,5.32805,1.27159e-06,5.51085,1.27159e-06,5.55005,1.27159e-06,5.27148,1.27159e-06,5.27657,1.27159e-06,5.34892,1.27159e-06,5.36469,1.27159e-06,5.33325,5.08634e-06,5.33325,2.03454e-05,5.32286,0.000396735,5.32805,0.0048867,5.34892,0.0307088,5.33847,0.142213,5.34892,0.423615,5.36469,0.935146,5.35417,1.52294,5.34892,2.29851,5.35417,2.42722,5.35942,2.89568,5.38054
101,2.47563,5.63015,1.96236,5.33847,1.18005,5.0897,0.625716,5.12312,0.270359,5.14727,0.0703174,5.28679,0.0118168,5.3125,0.000993108,5.32805,4.95918e-05,5.35417,1.27159e-06,5.32805,1.27159e-06,5.35417,1.27159e-06,5.34369,1.27159e-06,5.30734,1.27159e-06,5.36469,1.27159e-06,5.46125,1.27159e-06,5.39116,1.27159e-06,5.27657,1.27159e-06,5.33847,1.27159e-06,5.40183,1.27159e-06,5.30218,1.27159e-06,5.32805,5.08634e-06,5.32805,9.66405e-05,5.30734,0.00134152,5.33847,0.0111963,5.35417,0.0621792,5.33847,0.244067,5.33847,0.771472,5.35942,1.19843,5.35942,1.71199,5.36469,2.21732,5.33847,2.50631,5.38585,3.0977
