Date and Time Started,2022-Apr-20 16:11:36
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,2.355,5.42868,2.17666,5.41254,2.00707,5.43408,1.83633,5.38585,1.67113,5.41254,1.49746,5.41254,1.34646,5.42868,1.16993,5.39116,1.00966,5.37525,0.846705,5.33847,0.712213,5.30218,0.681294,5.28167,0.68695,5.30734,0.692876,5.35417,0.701239,5.34892,0.70577,5.32286,0.711285,5.3125,0.720482,5.29704,0.742421,5.32805,0.843046,5.36469,1.00243,5.39649,1.17598,5.39649,1.34946,5.43408,1.51617,5.42329,1.67164,5.39116,1.85253,5.42868,2.0287,5.41791,2.20212,5.41254,2.36828,5.42329,2.5413,5.42868,2.71839,5.40718,2.88955,5.40183,3.05439
125,5.42329,2.27742,5.43408,2.09967,5.44492,1.9122,5.41791,1.75659,5.41254,1.58711,5.43949,1.41593,5.42329,1.25029,5.41791,1.09356,5.35417,0.923757,5.34892,0.768216,5.30734,0.682656,5.28679,0.67001,5.31767,0.67348,5.33847,0.686001,5.30218,0.694109,5.34892,0.695346,5.29704,0.70196,5.29191,0.709714,5.31767,0.772891,5.35942,0.916933,5.38585,1.09269,5.40183,1.26184,5.40718,1.42554,5.43408,1.59592,5.42868,1.76568,5.42329,1.94143,5.43949,2.11431,5.42329,2.286,5.43408,2.46335,5.41254,2.62056,5.40183,2.78777,5.39649,2.96485,5.42329
123,2.3459,5.41791,2.17666,5.45035,1.99899,5.41791,1.84191,5.42329,1.66046,5.40718,1.50489,5.40718,1.33723,5.36996,1.17623,5.40183,1.0052,5.36996,0.843567,5.33847,0.706318,5.30734,0.65577,5.27148,0.65997,5.29704,0.666982,5.32286,0.674228,5.34892,0.680954,5.33847,0.683853,5.32805,0.691385,5.33325,0.72344,5.32286,0.835054,5.36996,1.00594,5.39649,1.17954,5.39116,1.34183,5.43949,1.51828,5.40183,1.67318,5.47219,1.86073,5.41254,2.02269,5.41791,2.20567,5.45035,2.37033,5.42868,2.53658,5.42329,2.72246,5.41254,2.87737,5.43949,3.06124
121,5.41791,2.26702,5.42329,2.08923,5.43408,1.9223,5.42868,1.75716,5.39649,1.58573,5.42329,1.42035,5.39649,1.25287,5.38054,1.08747,5.39116,0.923132,5.33847,0.764667,5.32286,0.662532,5.29704,0.645538,5.28679,0.65209,5.35942,0.657586,5.30218,0.668288,5.31767,0.673231,5.29704,0.672402,5.30218,0.689987,5.33325,0.767784,5.35942,0.921108,5.37525,1.08725,5.41254,1.26039,5.39649,1.42778,5.40718,1.59639,5.38585,1.76682,5.41254,1.93661,5.43408,2.11758,5.40718,2.29368,5.43408,2.46113,5.43408,2.62813,5.40183,2.78635,5.40718,2.96003,5.42868
119,2.33586,5.41254,2.18188,5.42329,2.00634,5.40718,1.83018,5.42329,1.67113,5.39649,1.49623,5.40718,1.3356,5.39649,1.16968,5.37525,1.00705,5.38585,0.846312,5.36469,0.696233,5.31767,0.638071,5.29704,0.638593,5.31767,0.644091,5.35417,0.646149,5.3125,0.656242,5.37525,0.660369,5.28679,0.670257,5.35417,0.709622,5.36996,0.837615,5.34892,1.00206,5.37525,1.16718,5.40183,1.34315,5.42329,1.50406,5.42329,1.67574,5.40718,1.85567,5.40718,2.02418,5.41254,2.19239,5.42329,2.35907,5.42329,2.53658,5.43949,2.71434,5.42868,2.87737,5.41791,3.06124
117,5.40183,2.26045,5.42329,2.08604,5.39649,1.92027,5.42868,1.75209,5.41791,1.59035,5.43408,1.42257,5.40183,1.25143,5.39649,1.08963,5.38054,0.921886,5.37525,0.764239,5.34369,0.647221,5.30218,0.622223,5.30218,0.623146,5.35942,0.632016,5.32286,0.640766,5.34892,0.64569,5.35942,0.652635,5.30218,0.666412,5.3125,0.765846,5.36469,0.920332,5.38054,1.08725,5.42329,1.25287,5.40718,1.43002,5.40183,1.59873,5.39116,1.75942,5.41254,1.94697,5.42329,2.1217,5.39649,2.27079,5.40183,2.46224,5.40718,2.6332,5.41791,2.81363,5.41791,2.96807,5.40718
115,2.35095,5.42329,2.1784,5.43949,2.00486,5.40183,1.84066,5.44492,1.66603,5.41254,1.50282,5.42329,1.33658,5.42329,1.17018,5.40718,1.00115,5.37525,0.842136,5.34892,0.685742,5.3125,0.615491,5.27657,0.609651,5.33847,0.616812,5.32286,0.62629,5.28679,0.627658,5.33847,0.632309,5.33325,0.642954,5.33325,0.694727,5.35417,0.837872,5.36469,1.00798,5.39116,1.16943,5.38585,1.33953,5.41254,1.50282,5.40183,1.68401,5.40718,1.8519,5.42868,2.02119,5.48318,2.20034,5.39116,2.37446,5.40718,2.5496,5.43949,2.70895,5.41791,2.89414,5.39116,3.04418
113,5.43408,2.27268,5.39649,2.09645,5.40183,1.92909,5.41791,1.74481,5.43408,1.58803,5.44492,1.42629,5.40183,1.25402,5.43408,1.09094,5.38054,0.925008,5.36469,0.76456,5.33325,0.631943,5.30218,0.597773,5.32805,0.607075,5.31767,0.612729,5.28167,0.61933,5.34369,0.622365,5.30218,0.626075,5.30734,0.648605,5.32805,0.75338,5.34369,0.920642,5.36469,1.09029,5.39649,1.25344,5.41254,1.42666,5.40183,1.58803,5.41791,1.77083,5.41254,1.92773,5.41791,2.10615,5.38585,2.28027,5.42868,2.45339,5.43949,2.62308,5.42868,2.79348,5.40183,2.98266,5.41254
111,2.35399,5.42329,2.17061,5.41254,2.00781,5.39116,1.84066,5.41791,1.67113,5.42868,1.50572,5.39116,1.33756,5.40718,1.17573,5.41791,1.00557,5.39116,0.839159,5.33847,0.682656,5.30218,0.60272,5.34369,0.592648,5.3125,0.598493,5.38585,0.601194,5.32805,0.608835,5.33325,0.614729,5.33325,0.619892,5.33325,0.686777,5.33847,0.833397,5.37525,1.00538,5.39116,1.16743,5.42329,1.34348,5.41791,1.50531,5.42329,1.67987,5.41254,1.86137,5.41791,2.02494,5.42329,2.19239,5.44492,2.37136,5.40718,2.54841,5.40183,2.69558,5.40183,2.88193,5.40183,3.05952
109,5.43408,2.26702,5.42868,2.09163,5.42868,1.9196,5.41791,1.75829,5.40718,1.58896,5.39649,1.4274,5.41791,1.26039,5.40183,1.0866,5.41254,0.925793,5.35942,0.757665,5.35417,0.624214,5.29704,0.58117,5.36469,0.583405,5.32286,0.58572,5.33847,0.595102,5.34892,0.602521,5.32805,0.60546,5.31767,0.636806,5.33847,0.753692,5.36469,0.917857,5.38585,1.08768,5.39116,1.25546,5.41791,1.42146,5.41254,1.59313,5.43949,1.76511,5.40718,1.9442,5.42329,2.10696,5.39116,2.27079,5.41254,2.4678,5.40183,2.63701,5.42329,2.80496,5.40183,2.96485,5.41791
