Date and Time Started,2022-Apr-20 16:12:07
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,2.24005,5.40718,2.05774,5.38585,1.89233,5.36469,1.72279,5.41254,1.5608,5.39116,1.39603,5.38585,1.22863,5.38585,1.059,5.39116,0.896904,5.39649,0.731777,5.36469,0.60694,5.31767,0.5878,5.32286,0.594519,5.31767,0.600533,5.30734,0.608767,5.31767,0.616255,5.30734,0.617369,5.40183,0.646761,5.33325,0.785001,5.37525,0.952931,5.39649,1.11318,5.39649,1.28289,5.39116,1.45672,5.38585,1.62682,5.40183,1.79646,5.40183,1.96873,5.38585,2.1358,5.40183,2.31409,5.40718,2.50057,5.42868,2.65238,5.40183,2.83996,5.42868,3.00069,5.40718,3.17699
125,5.42329,2.14587,5.39116,1.98447,5.40718,1.81136,5.39116,1.64843,5.41791,1.48323,5.40718,1.3147,5.40183,1.14564,5.40183,0.977317,5.36996,0.816574,5.34892,0.660289,5.34892,0.5784,5.36469,0.58272,5.32805,0.58856,5.32286,0.591108,5.31767,0.600203,5.30734,0.605863,5.38585,0.61563,5.34892,0.70169,5.34892,0.866315,5.41254,1.03374,5.39116,1.20239,5.39116,1.36771,5.39116,1.53925,5.39116,1.71092,5.35942,1.87029,5.39116,2.04388,5.39116,2.23364,5.40183,2.41755,5.41254,2.56517,5.40183,2.74573,5.37525,2.89875,5.40718,3.08197,5.39649
123,2.24466,5.40718,2.07022,5.40183,1.90089,5.38585,1.73428,5.39649,1.56036,5.38585,1.40284,5.37525,1.22752,5.37525,1.06209,5.40183,0.901048,5.36996,0.735126,5.34892,0.596532,5.34369,0.566755,5.3125,0.57132,5.35417,0.57791,5.34369,0.585343,5.32805,0.590853,5.28679,0.594713,5.46672,0.636213,5.34892,0.780625,5.38585,0.948628,5.40718,1.11477,5.38585,1.28228,5.40718,1.44899,5.39649,1.62296,5.40183,1.79351,5.38585,1.96731,5.39116,2.13664,5.37525,2.30725,5.38054,2.47563,5.39649,2.65238,5.39116,2.82527,5.36996,3.0156,5.40718,3.17515
121,5.41791,2.14756,5.41791,1.97943,5.39116,1.81076,5.39116,1.64248,5.37525,1.47841,5.39649,1.31248,5.39649,1.15143,5.39116,0.9803,5.42329,0.815721,5.35942,0.656953,5.34369,0.556022,5.34892,0.555739,5.37525,0.560071,5.31767,0.567638,5.33325,0.579136,5.29704,0.578216,5.33847,0.593872,5.32286,0.6973,5.34892,0.857339,5.39649,1.03649,5.39116,1.19791,5.39116,1.36361,5.39649,1.52848,5.41254,1.70664,5.40718,1.87607,5.40183,2.05233,5.39649,2.22545,5.40183,2.39214,5.38054,2.57242,5.37525,2.75265,5.38054,2.90492,5.39116,3.0664,5.38054
119,2.2373,5.39116,2.05774,5.38054,1.89759,5.40183,1.73483,5.39116,1.55769,5.39116,1.4032,5.40183,1.23195,5.39649,1.0654,5.41254,0.896021,5.41254,0.735819,5.35417,0.591108,5.33325,0.544546,5.35417,0.55003,5.32286,0.556816,5.31767,0.560013,5.31767,0.562609,5.25626,0.571679,5.42868,0.621727,5.32805,0.777845,5.39649,0.9442,5.42329,1.11001,5.39116,1.27719,5.36469,1.44938,5.39116,1.62103,5.40718,1.78764,5.40718,1.96873,5.41254,2.1333,5.36996,2.31802,5.39649,2.47676,5.38585,2.65625,5.40718,2.84144,5.38585,2.99904,5.44492,3.16411
117,5.38585,2.14419,5.38054,1.99899,5.40183,1.80776,5.39649,1.64545,5.41254,1.48686,5.37525,1.31596,5.39649,1.14998,5.41254,0.985429,5.36469,0.820994,5.38054,0.656874,5.34369,0.544872,5.35942,0.537842,5.33847,0.540611,5.3125,0.551252,5.33847,0.554723,5.32805,0.558867,5.38585,0.575353,5.34369,0.69641,5.38054,0.858417,5.42329,1.02907,5.39649,1.19215,5.37525,1.36873,5.38585,1.53148,5.40718,1.70292,5.38585,1.87995,5.42329,2.04465,5.38054,2.21462,5.40718,2.39423,5.38054,2.56036,5.38054,2.74297,5.39649,2.90801,5.39116,3.07849,5.41254
115,2.22636,5.39649,2.07101,5.40183,1.9042,5.41791,1.72334,5.38585,1.56528,5.38054,1.3996,5.39649,1.23029,5.39116,1.0592,5.40718,0.90463,5.36996,0.732169,5.35942,0.579935,5.35942,0.525626,5.31767,0.529653,5.35417,0.535732,5.29704,0.540076,5.34369,0.546508,5.27148,0.55259,5.42329,0.618909,5.33847,0.772891,5.40718,0.948957,5.38585,1.10574,5.38585,1.27569,5.39116,1.44439,5.41254,1.61623,5.39116,1.79528,5.39649,1.96377,5.40718,2.12914,5.39649,2.30335,5.38054,2.47227,5.39649,2.63956,5.39649,2.82527,5.39116,3.00399,5.40718,3.18626
113,5.40183,2.15604,5.36469,1.98302,5.40183,1.81316,5.39116,1.64545,5.41791,1.48363,5.38054,1.31914,5.39649,1.15876,5.38585,0.986319,5.40183,0.819638,5.36996,0.656637,5.37525,0.531457,5.32805,0.515747,5.34369,0.520963,5.31767,0.526538,5.32286,0.531353,5.29704,0.53689,5.38054,0.559039,5.34369,0.690598,5.38054,0.861668,5.40183,1.02251,5.40718,1.19581,5.40718,1.36225,5.40183,1.52039,5.41791,1.69921,5.36996,1.87286,5.40183,2.04235,5.40183,2.23273,5.39649,2.39634,5.38054,2.57,5.43949,2.7279,5.39649,2.90956,5.39116,3.08197,5.42329
111,2.24097,5.41254,2.06396,5.39649,1.89693,5.41791,1.73153,5.38054,1.56214,5.41254,1.39781,5.42868,1.2395,5.37525,1.06686,5.39116,0.899563,5.38585,0.739506,5.35942,0.58086,5.34892,0.507834,5.33847,0.51035,5.32286,0.511401,5.36996,0.519476,5.32805,0.522458,5.28679,0.531974,5.42329,0.609243,5.33325,0.777734,5.40183,0.946983,5.39649,1.10776,5.38585,1.28018,5.38054,1.4513,5.40183,1.61337,5.39116,1.79528,5.40183,1.96377,5.42868,2.13164,5.39649,2.31017,5.40183,2.47676,5.41791,2.64724,5.41791,2.83407,5.39116,2.98592,5.39116,3.16045
109,5.39649,2.1603,5.42868,1.9888,5.39116,1.82163,5.39116,1.64446,5.36996,1.47841,5.38585,1.31438,5.38585,1.14998,5.39649,0.987032,5.38054,0.819761,5.35942,0.656085,5.35417,0.519426,5.35942,0.495621,5.32286,0.500114,5.31767,0.506515,5.30218,0.51054,5.29704,0.514048,5.32286,0.547439,5.33325,0.696322,5.38054,0.858822,5.40183,1.02539,5.38585,1.18594,5.38054,1.35481,5.38054,1.52891,5.40183,1.70132,5.42329,1.86327,5.41254,2.04388,5.41791,2.21552,5.40718,2.38795,5.38585,2.57971,5.38585,2.73884,5.39116,2.91111,5.38054,3.07157,5.39649
