Date and Time Started,2022-Apr-20 17:07:11
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,2.45009,5.51641,2.38171,5.5557,2.15945,5.51641,1.87414,5.55005,1.84128,5.56135,1.65042,5.52199,1.53148,5.46672,1.38646,5.45579,1.20744,5.41254,1.00724,5.33847,0.872822,5.29191,0.81414,5.27148,0.842655,5.26639,0.805732,5.22108,0.789084,5.21112,0.775746,5.22108,0.729723,5.33325,0.805257,5.29191,0.794595,5.38585,0.799363,5.35417,0.936107,5.37525,1.13327,5.43949,1.30278,5.47219,1.48848,5.48318,1.64793,5.49422,1.79765,5.50529,1.89957,5.50529,2.10615,5.53318,2.25765,5.51641,2.43697,5.53879,2.57728,5.51641,2.71704,5.52758,2.83996
125,5.49422,2.26232,5.51085,2.1358,5.51085,2.08127,5.55005,1.79942,5.53879,1.76113,5.53879,1.47561,5.53318,1.42183,5.46672,1.26652,5.43408,1.08487,5.36996,0.942082,5.32805,0.795405,5.27657,0.78096,5.2361,0.820254,5.27148,0.798779,5.26639,0.692525,5.24616,0.748219,5.29191,0.822973,5.31767,0.80124,5.36996,0.734039,5.33325,0.848943,5.34369,0.997671,5.41791,1.23307,5.42868,1.40248,5.49422,1.54447,5.49975,1.6778,5.51085,1.91153,5.52199,2.04159,5.52199,2.18363,5.48869,2.3279,5.47219,2.50977,5.51641,2.65367,5.48318,2.79491,5.48318
123,2.46335,5.48318,2.33786,5.49975,2.14419,5.51641,2.00266,5.49975,1.84066,5.53879,1.71199,5.51641,1.51365,5.50529,1.20107,5.44492,1.20107,5.41791,1.00078,5.43408,0.798428,5.33847,0.74232,5.28679,0.776297,5.2512,0.717453,5.26639,0.824464,5.2512,0.80171,5.26132,0.749554,5.30218,0.71305,5.31767,0.762744,5.34369,0.823097,5.37525,0.96951,5.44492,1.17623,5.45035,1.30902,5.46672,1.40681,5.50529,1.62682,5.51085,1.79057,5.52199,1.95184,5.52758,2.08445,5.51085,2.24835,5.51641,2.39004,5.52199,2.61429,5.48318,2.70761,5.49975,2.86529
121,5.53879,2.28122,5.50529,2.08604,5.49975,2.13413,5.53318,1.78531,5.54442,1.60909,5.54442,1.6006,5.52758,1.43002,5.51085,1.11911,5.47768,0.957107,5.47768,0.795521,5.44492,0.679344,5.36469,0.628525,5.37525,0.63165,5.33847,0.714917,5.32286,0.781071,5.32805,0.761893,5.35417,0.660688,5.39116,0.672733,5.48318,0.717358,5.38585,0.853987,5.40183,1.03826,5.48318,1.18005,5.46672,1.33299,5.48318,1.55858,5.48869,1.66603,5.47768,1.88254,5.48318,2.03323,5.50529,2.18188,5.50529,2.29561,5.49422,2.49714,5.47768,2.66273,5.53879,2.81944,5.47768
119,2.47901,5.51085,2.28027,5.52199,2.18188,5.53318,1.91086,5.52199,1.82834,5.50529,1.52848,5.47768,1.53578,5.49975,1.36123,5.45579,1.19137,5.40718,1.0314,5.37525,0.85332,5.3125,0.764453,5.26132,0.702864,5.28679,0.786924,5.2512,0.737807,5.2512,0.743736,5.27148,0.711008,5.31767,0.66625,5.32286,0.699532,5.36996,0.787718,5.39116,0.935146,5.45035,1.11522,5.49422,1.30402,5.51085,1.51997,5.49975,1.62392,5.51641,1.81678,5.47219,1.96731,5.47219,2.08604,5.51641,2.24928,5.48318,2.40372,5.51641,2.53776,5.54442,2.69292,5.51641,2.92045
117,5.49975,2.37033,5.51085,2.24558,5.51641,2.09323,5.53879,1.94836,5.52758,1.75659,5.51085,1.62007,5.49975,1.44058,5.48869,1.25201,5.42868,1.09356,5.35417,0.861668,5.37525,0.782975,5.34369,0.729431,5.26639,0.624714,5.29704,0.701599,5.29704,0.739306,5.21609,0.675981,5.33847,0.635251,5.35942,0.65326,5.35942,0.755569,5.39116,0.937071,5.38585,1.0359,5.44492,1.2569,5.46672,1.40068,5.49422,1.53795,5.51085,1.66756,5.49975,1.84689,5.46672,2.0393,5.47768,2.18976,5.52758,2.32394,5.48869,2.47563,5.49975,2.69825,5.51085,2.77644,5.49975
115,2.49031,5.49422,2.34388,5.53318,2.03854,5.49422,2.04235,5.48869,1.88514,5.51085,1.73208,5.53879,1.37459,5.52199,1.19896,5.49975,1.03905,5.42868,1.05186,5.35942,0.842916,5.38585,0.716417,5.33325,0.706775,5.33847,0.691385,5.27148,0.68411,5.27657,0.632235,5.28679,0.743837,5.34369,0.665114,5.36996,0.678248,5.38585,0.771036,5.38585,0.962674,5.40718,1.1466,5.45035,1.31185,5.50529,1.47721,5.49975,1.67729,5.49422,1.81981,5.51085,1.92773,5.52199,2.12665,5.48869,2.24743,5.48318,2.39423,5.52199,2.57363,5.51085,2.67708,5.52758,2.83849
113,5.51085,2.34388,5.52758,2.22636,5.52199,2.11758,5.51085,1.97943,5.52758,1.75772,5.50529,1.61815,5.51641,1.4163,5.50529,1.22587,5.46125,1.11318,5.36469,0.892799,5.35417,0.759351,5.29191,0.66374,5.24616,0.693404,5.23108,0.611425,5.24616,0.683767,5.22108,0.746889,5.26639,0.666087,5.30734,0.707783,5.32286,0.72623,5.40718,0.87506,5.38585,1.06686,5.45579,1.19007,5.47219,1.34547,5.51085,1.57023,5.49422,1.68142,5.53318,1.88579,5.49422,2.02343,5.54442,2.17753,5.51641,2.35196,5.52758,2.49145,5.52758,2.65238,5.51641,2.81363,5.50529
111,2.4457,5.48318,2.30725,5.50529,2.18712,5.50529,2.05156,5.52199,1.86327,5.51085,1.66349,5.52199,1.49541,5.47768,1.32074,5.47219,1.14925,5.42868,1.04262,5.35942,0.859363,5.3125,0.691998,5.28679,0.721529,5.26639,0.721719,5.22108,0.72191,5.21609,0.684024,5.22608,0.642424,5.24112,0.648297,5.3125,0.656558,5.35417,0.792174,5.37525,1.01378,5.38585,1.14396,5.43408,1.30746,5.47768,1.47323,5.49975,1.6312,5.51085,1.72989,5.52199,1.94558,5.54442,2.10859,5.51085,2.27173,5.49422,2.46892,5.51085,2.53658,5.49975,2.7361,5.48869,2.82527
109,5.48869,2.41541,5.48318,2.27079,5.51641,2.08763,5.50529,1.9102,5.54442,1.75942,5.49975,1.58251,5.51641,1.43717,5.48869,1.21119,5.42868,1.13634,5.40718,0.92705,5.32805,0.767245,5.29191,0.652713,5.26639,0.645385,5.21609,0.716982,5.19624,0.694109,5.21609,0.711285,5.25626,0.634218,5.27148,0.661489,5.31767,0.731385,5.36996,0.868934,5.36469,1.09708,5.43408,1.24914,5.48318,1.36361,5.48869,1.55947,5.52199,1.73373,5.49975,1.82834,5.51641,2.00046,5.50529,2.1784,5.5557,2.34087,5.47768,2.50977,5.51085,2.64467,5.49975,2.80784,5.50529
