Date and Time Started,2022-Apr-20 17:10:14
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,2.57485,5.52199,2.35196,5.7791,1.93387,6.10878,1.37217,6.15006,0.737309,5.74868,0.236653,5.44492,0.0353679,5.33325,0.00294626,5.3125,0.00013606,5.32286,1.01727e-05,5.33325,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.30734,1.27159e-06,5.32805,1.27159e-06,5.31767,1.27159e-06,5.35942,1.27159e-06,5.36996,1.27159e-06,5.52758,1.27159e-06,5.31767,1.27159e-06,5.28679,1.27159e-06,5.30218,7.12088e-05,5.31767,0.00100964,5.3125,0.00600824,5.34892,0.0492587,5.33847,0.194309,5.32805,0.522108,5.36996,0.962844,5.32805,1.35347,5.33847,1.73649,5.34369,2.22273,5.33325,2.54722,5.33847,2.66143
125,5.45035,2.47227,5.64179,2.15095,6.02122,1.64893,6.16394,1.01397,5.93614,0.432403,5.56135,0.0875523,5.38585,0.00953689,5.3125,0.000605275,5.35942,3.56044e-05,5.3125,1.27159e-06,5.33847,1.27159e-06,5.30218,1.27159e-06,5.29191,1.27159e-06,5.30734,1.27159e-06,5.34369,1.27159e-06,5.3125,1.27159e-06,5.33325,1.27159e-06,5.49975,1.27159e-06,5.51085,1.27159e-06,5.21609,1.27159e-06,5.32805,1.65306e-05,5.3125,8.9011e-05,5.3125,0.00248976,5.32805,0.0136288,5.35942,0.094205,5.33847,0.310616,5.33325,0.698102,5.34369,1.11865,5.34369,1.49787,5.33847,1.94074,5.36469,2.389,5.33847,2.61679,5.32286
123,2.56397,5.52758,2.30238,5.87231,1.85002,6.1709,1.31787,6.08157,0.65577,5.7126,0.200244,5.45035,0.0261501,5.31767,0.00177768,5.33325,0.000124615,5.33325,1.14443e-05,5.32805,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.33847,1.27159e-06,5.33325,1.27159e-06,5.3125,1.27159e-06,5.34369,1.27159e-06,5.40183,1.27159e-06,5.69473,1.27159e-06,5.34369,1.27159e-06,5.27657,1.27159e-06,5.32286,4.32339e-05,5.32805,0.000652323,5.3125,0.00575647,5.33847,0.0330294,5.34892,0.176837,5.34892,0.480575,5.34369,0.895287,5.31767,1.30309,5.36469,1.69551,5.30734,2.16802,5.33325,2.54367,5.3125,2.67184
121,5.45579,2.42399,5.6888,2.04771,6.0546,1.57113,6.15006,0.949617,5.83467,0.382467,5.49422,0.0728949,5.35417,0.00683223,5.31767,0.000443783,5.32286,3.81476e-05,5.32286,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.35942,1.27159e-06,5.33325,1.27159e-06,5.33325,1.27159e-06,5.48869,1.27159e-06,5.55005,1.27159e-06,5.21112,1.27159e-06,5.35417,1.01727e-05,5.32805,6.10361e-05,5.3125,0.000832888,5.29191,0.0116821,5.35942,0.0655795,5.34369,0.258166,5.34369,0.646302,5.34892,1.07568,5.34369,1.47961,5.32286,1.89824,5.32805,2.35399,5.32286,2.60929,5.32286
119,2.53894,5.5557,2.24928,5.91044,1.78764,6.19189,1.24857,6.02787,0.594972,5.63015,0.163071,5.38054,0.0201063,5.35942,0.00119275,5.32805,0.00012843,5.34892,1.27159e-06,5.31767,2.54317e-06,5.32805,1.27159e-06,5.3125,1.27159e-06,5.35417,1.27159e-06,5.32286,1.27159e-06,5.32805,1.27159e-06,5.28167,1.27159e-06,5.42329,1.27159e-06,5.70068,1.27159e-06,5.29704,1.27159e-06,5.30734,1.27159e-06,5.32286,8.9011e-06,5.32286,0.000193281,5.32805,0.00225198,5.32805,0.0233972,5.33847,0.125621,5.35417,0.38735,5.37525,0.82596,5.32286,1.26039,5.34892,1.62925,5.3125,2.11512,5.35417,2.48918,5.37525,2.65884
117,5.47219,2.40478,5.76081,1.97657,6.10196,1.43453,6.14314,0.853454,5.83467,0.309647,5.43949,0.0512322,5.34892,0.0043768,5.32805,0.000263218,5.33325,1.39874e-05,5.31767,1.27159e-06,5.32286,1.27159e-06,5.33325,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.31767,1.27159e-06,5.34369,1.27159e-06,5.30218,1.27159e-06,5.49422,1.27159e-06,5.49975,1.27159e-06,5.24112,1.27159e-06,5.37525,1.27159e-06,5.33847,1.90738e-05,5.33847,0.000745149,5.3125,0.0063007,5.34369,0.0530175,5.33847,0.203452,5.34369,0.544058,5.34369,0.996942,5.34369,1.38787,5.34369,1.80299,5.34369,2.31409,5.32286,2.58827,5.32286
115,2.50401,5.63015,2.18275,6.00798,1.72388,6.14314,1.09973,5.96206,0.51236,5.59554,0.130275,5.38054,0.0143524,5.3125,0.00110882,5.31767,8.77394e-05,5.3125,1.01727e-05,5.35942,1.27159e-06,5.3125,1.27159e-06,5.33325,1.27159e-06,5.32286,1.27159e-06,5.31767,1.27159e-06,5.3125,1.27159e-06,5.32286,1.27159e-06,5.37525,1.27159e-06,5.67698,1.27159e-06,5.32286,1.27159e-06,5.29191,1.27159e-06,5.32805,6.35793e-06,5.32805,9.02825e-05,5.31767,0.00190483,5.35417,0.0182345,5.33325,0.100707,5.33847,0.314661,5.32286,0.747195,5.33325,1.18904,5.33847,1.56304,5.33847,2.02644,5.33847,2.4556,5.33325,2.67708
113,5.51641,2.33686,5.79136,1.91556,6.12935,1.37945,6.15006,0.810876,5.7669,0.267538,5.43949,0.0436764,5.33847,0.00342056,5.33325,0.000245416,5.32805,6.35793e-06,5.33847,1.27159e-06,5.36469,1.27159e-06,5.31767,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.34369,1.27159e-06,5.48869,1.27159e-06,5.52199,1.27159e-06,5.24616,1.27159e-06,5.32805,1.27159e-06,5.32286,3.30612e-05,5.35417,0.000456499,5.32805,0.00413392,5.35417,0.037906,5.32286,0.171846,5.32286,0.482357,5.33325,0.941595,5.34369,1.34447,5.33325,1.7387,5.37525,2.24928,5.33847,2.56879,5.31767
111,2.47339,5.69473,2.14167,6.02122,1.60436,6.24857,1.04562,5.93614,0.451754,5.5841,0.106411,5.36469,0.0102884,5.32286,0.000750235,5.32805,4.06907e-05,5.33325,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-06,5.3125,1.27159e-06,5.33325,1.27159e-06,5.30734,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.41791,1.27159e-06,5.61857,1.27159e-06,5.36469,1.27159e-06,5.26639,1.27159e-06,5.30218,2.54317e-06,5.35942,0.000113171,5.33325,0.000774395,5.32286,0.0123636,5.34369,0.0711795,5.35417,0.28174,5.34369,0.670421,5.34369,1.11751,5.32805,1.50947,5.32805,1.96873,5.34369,2.4283,5.33325,2.66273
109,5.56135,2.29079,5.91044,1.85883,6.16394,1.30278,6.11562,0.702502,5.70664,0.220229,5.43949,0.0321063,5.33847,0.00262709,5.3125,0.000134788,5.32286,1.27159e-06,5.35417,1.27159e-06,5.31767,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-06,5.32805,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-06,5.3125,1.27159e-06,5.47219,1.27159e-06,5.50529,1.27159e-06,5.21112,1.27159e-06,5.3125,1.27159e-06,5.34369,7.62951e-06,5.34892,0.000113171,5.31767,0.00258132,5.33325,0.0230322,5.3125,0.124142,5.34369,0.4308,5.33847,0.872265,5.33325,1.28591,5.34892,1.68297,5.34892,2.1732,5.31767,2.54485,5.29704
