Date and Time Started,2022-Apr-20 16:41:28
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,5.33325,2.64467,5.37525,2.56758,5.56135,2.28983,6.0479,1.17421,6.08157,0.663014,5.38054,0.232859,5.35417,0.0314488,5.28167,0.00173826,5.32805,3.81476e-05,5.33325,1.27159e-06,5.34369,1.27159e-06,5.36996,1.27159e-06,5.3125,1.27159e-06,5.41791,1.27159e-06,5.27657,1.27159e-06,5.30734,1.27159e-06,5.41791,1.27159e-06,5.39649,1.27159e-06,5.33847,6.61224e-05,5.33847,0.000401821,5.34369,0.00252664,5.32805,0.0134267,5.33325,0.0562028,5.32805,0.188755,5.31767,0.478218,5.34892,0.85372,5.34892,1.14974,5.32286,1.66147,5.32805,2.13664,5.33325,2.63066,5.31767,2.64595,5.33325,2.67446,5.34369
125,2.65754,5.33325,2.64981,5.58982,2.4556,5.72458,1.93936,6.0479,0.847757,5.83467,0.509825,5.63015,0.0822766,5.36996,0.0064037,5.35942,0.00026449,5.30734,3.81476e-06,5.31767,1.27159e-06,5.3125,1.27159e-06,5.33325,1.27159e-06,5.36996,1.27159e-06,5.38054,1.27159e-06,5.33847,1.27159e-06,5.41254,1.27159e-06,5.45579,1.27159e-06,5.34892,5.08634e-06,5.32286,7.88383e-05,5.32286,0.000816358,5.33847,0.00489179,5.3125,0.0201063,5.32805,0.0865011,5.34369,0.258753,5.33847,0.585218,5.34892,1.04662,5.33847,1.49296,5.35942,2.08843,5.33325,2.49372,5.34369,2.61554,5.32805,2.66143,5.34369,2.67054
123,5.32805,2.64981,5.35417,2.57485,5.65347,2.18712,5.9426,1.59966,5.7669,0.58012,5.51641,0.185985,5.3125,0.021987,5.32805,0.00115078,5.32286,2.16169e-05,5.35417,1.27159e-06,5.33325,1.27159e-06,5.33847,1.27159e-06,5.33847,1.27159e-06,5.39649,1.27159e-06,5.3125,1.27159e-06,5.26639,1.27159e-06,5.40183,1.27159e-06,5.39116,1.27159e-06,5.32805,1.65306e-05,5.33847,0.000172936,5.32805,0.00112154,5.32286,0.00796521,5.33325,0.037892,5.33325,0.14867,5.32286,0.329885,5.34892,0.832508,5.34369,1.13116,5.33325,1.60483,5.31767,2.05852,5.32286,2.46224,5.32286,2.66402,5.30218,2.67054,5.32805
121,2.66143,5.34369,2.62434,5.51085,2.37033,5.70664,2.06866,6.09515,0.882983,5.866,0.315643,5.42329,0.0621411,5.36469,0.00455482,5.32805,0.000123344,5.33325,1.27159e-06,5.33847,1.27159e-06,5.33325,1.27159e-06,5.36996,1.27159e-06,5.32286,1.27159e-06,5.41254,1.27159e-06,5.32805,1.27159e-06,5.30734,1.27159e-06,5.43408,1.27159e-06,5.36469,3.81476e-06,5.32286,3.94191e-05,5.32805,0.000403092,5.32805,0.00259658,5.33847,0.0154981,5.31767,0.0626993,5.33847,0.21771,5.3125,0.501032,5.33847,0.862484,5.32286,1.50531,5.32805,1.88644,5.32805,2.25578,5.31767,2.59689,5.33847,2.66532,5.34369,2.67184
119,5.34369,2.65884,5.42868,2.496,5.53318,2.00855,6.07481,1.664,5.98165,0.538266,5.37525,0.13986,5.39649,0.0147072,5.33325,0.00068157,5.32286,1.78022e-05,5.31767,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-06,5.32286,1.27159e-06,5.38054,1.27159e-06,5.32805,1.27159e-06,5.30218,1.27159e-06,5.46672,1.27159e-06,5.39116,1.27159e-06,5.33847,2.54317e-06,5.32286,7.12088e-05,5.33325,0.000670125,5.32286,0.00474301,5.31767,0.0249676,5.35417,0.0924664,5.3125,0.324148,5.34369,0.676232,5.32286,1.02194,5.32286,1.45867,5.33847,2.24743,5.34369,2.3652,5.30734,2.62434,5.3125,2.66663,5.32286
117,2.66402,5.34369,2.59565,5.51085,2.22364,5.73661,1.26888,6.15699,0.737608,5.67698,0.281001,5.43949,0.0422522,5.33325,0.00265126,5.33325,6.99372e-05,5.31767,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.33847,1.27159e-06,5.36469,1.27159e-06,5.30734,1.27159e-06,5.31767,1.27159e-06,5.39116,1.27159e-06,5.43949,1.27159e-06,5.33325,2.54317e-06,5.30218,1.90738e-05,5.33325,0.000181837,5.35942,0.00124615,5.32805,0.00871417,5.34369,0.0432886,5.35417,0.150257,5.32805,0.455218,5.35942,0.788742,5.35942,1.46532,5.32286,1.89429,5.32805,2.09725,5.32805,2.56276,5.32805,2.65625,5.29704,2.6784
115,5.34892,2.62686,5.45035,2.45781,5.70664,2.0056,6.09515,1.30123,6.09515,0.695878,5.60703,0.116728,5.34892,0.00991201,5.30734,0.000502276,5.31767,1.01727e-05,5.30734,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.41791,1.27159e-06,5.30218,1.27159e-06,5.28679,1.27159e-06,5.45579,1.27159e-06,5.41254,1.27159e-06,5.3125,1.27159e-06,5.31767,2.79749e-05,5.32286,0.000376389,5.30218,0.00278477,5.3125,0.0153836,5.32286,0.0749371,5.3125,0.240002,5.33325,0.633409,5.36469,0.922508,5.32805,1.3233,5.33847,2.13497,5.32805,2.38587,5.34892,2.65754,5.33847,2.66402,5.33847
113,2.65367,5.40183,2.57121,5.7791,2.20835,5.96206,1.65693,5.80367,0.810395,5.866,0.206537,5.34892,0.0320528,5.3125,0.00159711,5.32805,5.34066e-05,5.33847,1.27159e-06,5.33847,1.27159e-06,5.32805,1.27159e-06,5.32805,1.27159e-06,5.32805,1.27159e-06,5.36469,1.27159e-06,5.29704,1.27159e-06,5.26639,1.27159e-06,5.41791,1.27159e-06,5.37525,1.27159e-06,5.31767,6.35793e-06,5.30734,6.86656e-05,5.33847,0.000672669,5.32286,0.00461077,5.33847,0.0263256,5.35417,0.113625,5.33847,0.381479,5.32286,0.757875,5.32805,1.25546,5.34369,1.53535,5.33847,2.09725,5.33847,2.49145,5.3125,2.67446,5.32805,2.67708
111,5.32805,2.65496,5.41254,2.4069,5.78522,1.88189,6.16394,1.10172,5.51641,0.496522,5.40718,0.0828031,5.33847,0.00641769,5.33847,0.0002327,5.34369,5.08634e-06,5.32286,1.27159e-06,5.33325,1.27159e-06,5.34369,1.27159e-06,5.31767,1.27159e-06,5.41254,1.27159e-06,5.3125,1.27159e-06,5.32286,1.27159e-06,5.39649,1.27159e-06,5.40718,1.27159e-06,5.3125,1.27159e-06,5.34369,6.35793e-06,5.32286,0.000158948,5.31767,0.00145088,5.31767,0.00935505,5.35417,0.0504158,5.33847,0.172939,5.33847,0.45916,5.34892,1.06686,5.33325,1.43453,5.35417,1.76969,5.35417,2.37033,5.31767,2.64084,5.32805,2.67577,5.30734
109,2.63193,5.39649,2.59319,5.53879,2.05387,5.87231,1.28955,6.14314,0.592455,5.54442,0.182657,5.41254,0.0229775,5.33847,0.00110501,5.34892,1.39874e-05,5.32286,1.27159e-06,5.30734,1.27159e-06,5.33325,1.27159e-06,5.31767,1.27159e-06,5.35417,1.27159e-06,5.30218,1.27159e-06,5.32805,1.27159e-06,5.33325,1.27159e-06,5.42868,1.27159e-06,5.36996,1.27159e-06,5.34892,1.27159e-06,5.35417,3.6876e-05,5.32286,0.00033697,5.33325,0.00307724,5.30734,0.0199652,5.32805,0.0894935,5.32805,0.280424,5.33847,0.666819,5.33847,1.10172,5.32805,1.47601,5.35417,2.10696,5.32805,2.60805,5.33847,2.63829,5.3125,2.67446
