Date and Time Started,2022-Apr-20 17:08:11
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,5.52199,2.43915,5.52758,2.22545,5.48318,1.94628,5.52199,1.96095,5.52199,1.78181,5.53879,1.64446,5.53318,1.41593,5.54442,1.30589,5.56702,1.10217,5.56702,0.86659,5.56135,0.826711,5.55005,0.739506,5.54442,0.736415,5.5727,0.761893,5.49975,0.821859,5.46672,0.71717,5.46125,0.758296,5.45035,0.774755,5.38585,0.846312,5.41254,0.914476,5.53879,1.11591,5.52199,1.25835,5.55005,1.46257,5.5784,1.62974,5.56135,1.78007,5.5557,1.86391,5.53879,2.01895,5.52199,2.22183,5.50529,2.32196,5.53879,2.58215,5.53318,2.67184,5.53879,2.8444,5.56135
125,2.4556,5.53879,2.31409,5.56135,2.1784,5.53879,2.05079,5.51085,1.85002,5.52758,1.50738,5.53879,1.54273,5.54442,1.40428,5.55005,1.06209,5.5784,1.03159,5.54442,0.88284,5.55005,0.768649,5.53879,0.705679,5.53879,0.700699,5.52758,0.781183,5.50529,0.719343,5.46125,0.76062,5.45035,0.743938,5.40183,0.781854,5.34892,0.91832,5.45035,0.962165,5.56135,1.2353,5.58982,1.36123,5.5557,1.53925,5.55005,1.74928,5.5841,1.78706,5.54442,2.05465,5.5557,2.16287,5.5557,2.31213,5.56135,2.47563,5.55005,2.62813,5.55005,2.73062,5.60703,2.90029
123,5.50529,2.37859,5.51085,2.26514,5.49422,2.12831,5.55005,1.91153,5.50529,1.74314,5.5784,1.61384,5.52758,1.46179,5.52758,1.26155,5.53318,1.16098,5.52199,0.909602,5.5784,0.727876,5.5727,0.726133,5.50529,0.662612,5.51641,0.734138,5.47219,0.743128,5.46125,0.678669,5.42868,0.688075,5.43949,0.749863,5.40183,0.849339,5.38054,0.979948,5.53879,1.1328,5.5727,1.34514,5.5557,1.43755,5.59554,1.6809,5.5727,1.75659,5.5784,1.90287,5.56135,2.08684,5.56135,2.19415,5.53879,2.41969,5.53318,2.55318,5.49422,2.66663,5.54442,2.87434,5.6128
121,2.45229,5.52199,2.35095,5.55005,2.1333,5.49422,1.978,5.49422,1.90686,5.51641,1.70026,5.51641,1.55503,5.52758,1.3739,5.6128,1.20958,5.53879,1.00761,5.53879,0.894993,5.53318,0.672733,5.56135,0.723057,5.52758,0.722197,5.50529,0.772345,5.46672,0.782975,5.43408,0.730895,5.44492,0.728264,5.46672,0.72191,5.36469,0.839676,5.45035,1.03296,5.56135,1.18209,5.5727,1.37702,5.56702,1.57612,5.5557,1.70824,5.54442,1.90553,5.56135,2.04006,5.5557,2.188,5.53879,2.30822,5.5557,2.46113,5.55005,2.59936,5.54442,2.69958,5.56135,2.8668
119,5.53318,2.36725,5.48869,2.24928,5.48318,2.1358,5.55005,1.89233,5.53879,1.83018,5.54442,1.60201,5.5557,1.45015,5.53318,1.28138,5.5727,1.12487,5.54442,0.993316,5.52758,0.806089,5.5557,0.741011,5.53318,0.613762,5.51641,0.708058,5.49422,0.714823,5.43949,0.694286,5.44492,0.722292,5.43949,0.724304,5.40718,0.781183,5.35417,0.947147,5.55005,1.19659,5.55005,1.36361,5.5557,1.51407,5.55005,1.63657,5.5727,1.72008,5.5557,1.94143,5.55005,2.11104,5.52758,2.28696,5.56702,2.36725,5.5727,2.49031,5.53318,2.65884,5.56702,2.78493,5.59554
117,2.47115,5.51085,2.29272,5.50529,2.21912,5.52199,2.00266,5.54442,1.86837,5.49422,1.76226,5.52199,1.59779,5.53318,1.38505,5.51641,1.25864,5.56702,1.01775,5.52758,0.848152,5.58982,0.728944,5.5784,0.659253,5.54442,0.682059,5.47768,0.715854,5.45035,0.675145,5.38585,0.673646,5.37525,0.720291,5.41254,0.734829,5.34369,0.878297,5.49422,1.0892,5.5841,1.22176,5.5557,1.39353,5.54442,1.60531,5.56135,1.65744,5.5841,1.84377,5.58982,2.03778,5.5727,2.20123,5.53318,2.33487,5.5784,2.47227,5.53318,2.62056,5.5841,2.71704,5.56702,2.87737
115,5.51641,2.4283,5.51085,2.25206,5.52758,2.09003,5.52758,1.93387,5.51641,1.78764,5.5557,1.68194,5.52199,1.46966,5.54442,1.30092,5.56135,1.17979,5.56702,0.892653,5.56135,0.792634,5.55005,0.687295,5.53318,0.677322,5.52758,0.71036,5.45035,0.694374,5.44492,0.647758,5.39649,0.704132,5.42329,0.721815,5.35942,0.807519,5.38585,0.953098,5.53318,1.10017,5.5727,1.36157,5.56702,1.48283,5.53318,1.63315,5.54442,1.78764,5.56702,1.99316,5.55005,2.05079,5.5841,2.26985,5.5841,2.36418,5.58982,2.5496,5.5727,2.62939,5.5841,2.84885,5.5557
113,2.48465,5.51085,2.27552,5.49975,2.01299,5.53318,2.04848,5.52199,1.86137,5.51641,1.70611,5.53318,1.53925,5.51641,1.35953,5.54442,1.2278,5.56135,1.07441,5.56702,0.841617,5.56135,0.743331,5.49975,0.676567,5.53879,0.627586,5.51641,0.691473,5.43949,0.669681,5.44492,0.664871,5.42868,0.683083,5.45035,0.74081,5.45579,0.87143,5.53318,1.06769,5.56702,1.18081,5.5784,1.39817,5.53879,1.51912,5.55005,1.72934,5.56702,1.82712,5.58982,1.98447,5.58982,2.17147,5.5784,2.33686,5.56702,2.49145,5.5841,2.61054,5.56702,2.69958,5.54442,2.8668
111,5.51085,2.40266,5.51085,2.27457,5.53318,2.07652,5.51085,1.98953,5.55005,1.77198,5.48318,1.64248,5.50529,1.50531,5.53879,1.27749,5.54442,1.09929,5.5727,0.948463,5.5727,0.812807,5.52199,0.661409,5.56135,0.66739,5.50529,0.668943,5.43949,0.695701,5.45035,0.706409,5.40718,0.707966,5.45579,0.690685,5.38054,0.821364,5.37525,0.919248,5.5557,1.1399,5.56135,1.26184,5.53318,1.44287,5.55005,1.6312,5.56702,1.80836,5.55005,1.85631,5.55005,2.12252,5.5784,2.22183,5.53318,2.37446,5.53879,2.53776,5.53318,2.66663,5.52758,2.83849,5.60703
109,2.4567,5.50529,2.32196,5.54442,2.14587,5.48869,1.98591,5.47768,1.84315,5.53879,1.69974,5.51641,1.53406,5.5557,1.45053,5.54442,1.26682,5.56135,0.856398,5.58982,0.90448,5.5557,0.719912,5.52758,0.607345,5.52199,0.619189,5.50529,0.670915,5.42868,0.549145,5.42329,0.539809,5.41254,0.678163,5.42329,0.70169,5.30218,0.912337,5.46672,1.09422,5.51641,1.25258,5.5727,1.28259,5.54442,1.44439,5.55005,1.75999,5.5557,1.81256,5.59554,2.02044,5.5727,2.21103,5.56702,2.30141,5.54442,2.44133,5.5784,2.57363,5.5727,2.79921,5.53879,2.91733
