Date and Time Started,2022-Apr-20 16:23:22
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,1.39603,2.91111,2.4457,2.25858,2.18625,1.56393,3.5008,2.77503,1.50947,1.26652,2.4069,2.22726,2.49031,1.54578,2.17753,1.89495,2.80784,1.28651,2.96324,1.69079,2.75126,2.86379,2.47901,2.62686,2.96646,2.76799,2.64211,3.69253,3.24688,2.98266,3.23726,3.30384,3.0733,3.28397,2.89261,3.71009,2.68234,2.73336,3.64083,2.89261,3.12607,2.61179,3.78465,3.37531,3.08371,4.5284,3.51432,3.35046,3.15679,2.88041,3.47408,2.68895,2.57606,3.03909,1.79351,2.01969,2.91889,2.20657,3.9403,2.06007,3.09069,2.35297,2.52485,2.48578,2.6784
125,2.48578,2.15689,2.8326,3.43475,3.13505,3.3774,2.64724,1.93114,2.78209,1.87029,1.52251,1.98302,1.13752,2.07652,1.42778,3.21628,1.8351,1.1478,2.55916,2.14925,2.40796,1.71683,2.01448,1.94836,2.39214,3.70757,3.88701,3.72527,2.51439,3.52112,3.18069,3.13685,3.90089,3.08197,2.94407,2.69958,3.15133,4.00385,3.39208,3.00234,2.55318,2.95842,3.15497,3.24302,3.46087,2.55676,2.79205,2.33987,2.55557,3.37531,3.00564,2.89875,3.32193,3.04079,2.96163,1.93182,2.13247,2.64211,3.29189,1.54885,2.44242,2.26608,1.82406,1.63364,2.41755
123,2.40161,2.84885,2.40902,1.413,2.04159,1.58251,2.29079,2.8282,2.26045,2.0302,3.02395,2.21552,2.04083,1.64992,1.96025,3.03066,1.9223,2.90338,2.55916,2.54012,4.07556,2.63956,3.17699,2.21912,2.78068,3.68257,2.88041,3.18998,4.23681,2.37033,3.18626,3.9403,3.20496,2.9409,4.36551,3.78465,4.22697,3.33003,2.51903,3.87048,2.26139,2.61429,3.26045,3.42613,4.11549,4.31038,4.13418,4.65977,3.49632,2.48465,3.27021,2.77926,2.50977,2.47004,2.36315,1.64149,2.05852,2.21372,2.84144,2.63956,1.62296,2.64595,1.84315,2.64852,2.86079
121,2.28218,3.11182,2.63701,2.57,2.36623,3.02898,2.22726,1.78123,1.52848,2.0531,2.11841,1.38435,2.21822,1.81437,2.6006,2.48465,2.93616,2.26514,2.23547,2.41008,2.11267,2.54248,2.82966,2.31311,3.31789,3.41755,2.96324,3.44776,2.72926,2.88041,3.32193,2.44024,3.12966,4.39007,3.69003,2.44242,2.17233,3.29985,3.53937,2.62434,2.30725,3.53479,3.12786,2.34187,2.96807,3.28003,3.5325,2.57,3.44776,3.02898,3.37114,3.04248,2.74849,2.60929,2.34187,2.80784,1.81256,3.13865,3.28003,1.862,2.80352,2.40266,3.22388,2.56758,2.30044
119,2.77644,2.42614,2.22636,2.46669,2.7279,1.50117,2.26608,1.28259,1.63364,1.75096,2.72382,2.85332,2.97778,2.28696,3.38787,2.31802,1.84564,1.58665,2.07494,1.7277,2.90956,4.28333,3.5053,3.27806,2.99739,2.86981,2.761,3.75602,3.63599,3.07503,3.66773,2.83849,3.73547,3.03571,3.53479,3.02395,3.22198,4.05739,3.77419,3.9805,3.14588,4.1062,3.19745,2.80784,2.73199,3.15862,3.11005,3.36906,2.68366,2.27268,2.68762,2.1501,1.69709,1.84004,2.71975,2.28983,1.77949,3.30184,2.27173,2.0182,1.79175,2.05233,1.51323,2.78351,2.28887
117,2.48804,3.11182,2.98919,2.17406,1.62779,2.75681,2.61805,2.1845,2.20478,2.84885,2.48352,1.93593,2.40584,1.71414,1.37528,1.66198,2.28122,2.38274,1.47362,1.8388,2.09243,2.07652,3.1136,4.76133,3.60003,3.06124,3.282,3.81372,3.76378,3.0664,2.81218,3.46746,3.72527,3.25656,2.80352,2.4567,3.67513,2.97292,2.53894,3.19371,2.92515,2.8326,3.10122,2.7694,3.93462,4.55104,4.60088,2.75542,3.54167,4.04837,2.72926,3.26045,2.56397,2.96646,2.37136,2.64981,2.15604,2.18712,2.34187,3.10298,1.71199,2.97778,1.50323,2.95682,2.93932
115,2.38795,2.29851,2.72246,1.85883,2.91267,2.761,2.07415,2.67446,1.60531,2.69292,1.7941,2.48578,1.95045,1.29475,1.42965,2.38171,1.98087,1.24601,3.08371,2.99083,2.93932,2.12335,2.25858,2.92045,2.72246,3.05268,2.84144,3.18069,3.22008,3.64813,3.07157,4.22697,2.61179,2.69691,3.89811,2.8064,2.96968,2.58093,2.79921,4.56626,3.52112,4.58159,2.61179,3.76378,3.7202,4.04837,4.79057,4.49856,3.90089,3.07157,4.08776,3.35458,2.14419,1.90487,2.88041,3.64326,2.49145,1.87157,1.83141,2.21282,2.41115,1.60107,1.67011,2.19769,3.22388
113,1.7941,2.52602,2.95842,2.87132,2.34187,2.94407,2.84737,2.51671,1.31946,1.46689,2.66402,1.9062,2.40266,2.1358,1.73814,2.39529,2.50977,3.0977,1.74369,1.83079,2.89721,2.80784,2.75681,3.94599,2.33887,2.08684,2.73336,2.02794,2.87434,2.22454,5.21609,2.94884,3.0273,2.7694,2.80928,2.6332,2.81508,2.79348,2.41115,3.05952,4.45816,3.0273,4.78218,3.04418,2.33088,3.8084,3.3341,3.2012,2.88497,2.26514,2.98103,2.85034,2.99575,2.90801,2.60929,2.83407,2.6006,1.85378,2.65496,2.14167,1.8351,3.28793,2.36315,3.06296,3.23726
111,2.52368,2.43046,2.49031,2.40161,2.70359,2.55557,1.37632,2.83849,1.46336,1.43491,1.75999,2.63066,1.83448,2.10372,1.63608,1.91287,2.52719,2.82235,1.59499,2.63574,3.0374,2.41755,3.39208,2.70895,3.33003,2.96324,2.86229,2.1845,2.85183,3.08197,3.3341,3.21818,3.94314,2.70493,3.38367,2.73747,2.60805,3.03234,2.67446,2.47227,3.22769,2.68498,3.34021,2.80784,3.30784,3.46746,2.87434,3.32193,2.60432,3.87048,2.41969,2.89721,2.56036,3.15497,1.56214,1.74369,3.1733,1.99461,2.13915,2.47227,2.38378,2.07258,3.37949,1.71145,2.17927
109,2.87737,1.62682,2.36828,1.43002,1.93114,1.45672,1.60625,2.90647,1.37183,2.52953,1.41227,2.38274,2.6784,1.2245,2.72246,2.26702,2.5413,2.31507,2.62182,1.76283,2.6256,3.00069,3.60955,2.15945,2.14587,3.7202,3.39208,2.65238,3.0073,3.20684,3.69003,2.97616,3.2624,2.84885,3.05781,2.32592,2.87586,3.94884,2.33487,4.32403,4.01267,2.33887,3.57646,2.67315,3.04927,3.46087,3.1136,4.68777,2.99739,4.74067,3.01727,2.81798,3.44124,2.71569,2.66663,1.97442,3.16411,2.16202,1.9102,2.74435,1.36191,2.70225,1.80358,2.89261,3.11715
