Date and Time Started,2022-Apr-20 16:34:44
Scan Name,UF MGT builder eyescan
Dwell,BER
Dwell BER,1e-6
Dwell Time,0
Horizontal Increment,1
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,2
Vertical Range,100%
Scan Start
2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
127,5.32805,2.55916,5.42868,2.30141,5.91685,1.70664,6.07481,1.0547,5.65347,0.237363,5.42868,0.0463633,5.34369,0.00225071,5.32286,4.83202e-05,5.32805,1.27159e-06,5.31767,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.3125,1.27159e-06,5.31767,1.27159e-06,5.26639,1.27159e-06,5.50529,1.27159e-06,5.38585,1.27159e-06,5.38054,1.27159e-06,5.33325,1.27159e-06,5.34369,1.27159e-06,5.34369,1.27159e-06,5.32286,5.08634e-05,5.33325,0.00239058,5.32805,0.0280054,5.34892,0.133169,5.33847,0.545035,5.34369,0.87366,5.32805,1.29444,5.35942,1.87029,5.30734,2.26796,5.33847,2.59319,5.33325,2.66793,5.3125
125,2.64211,5.41254,2.45009,5.61857,2.20657,6.03453,1.43717,6.02122,0.34679,5.72458,0.112408,5.33325,0.0101841,5.33325,0.000267033,5.32286,3.81476e-06,5.32286,1.27159e-06,5.34369,1.27159e-06,5.31767,1.27159e-06,5.33325,1.27159e-06,5.32286,1.27159e-06,5.33325,1.27159e-06,5.29191,1.27159e-06,5.42868,1.27159e-06,5.38054,1.27159e-06,5.3125,1.27159e-06,5.32805,1.27159e-06,5.34892,1.27159e-06,5.32805,3.81476e-06,5.33325,0.000265761,5.31767,0.00626383,5.33847,0.0510363,5.35942,0.207486,5.34369,0.705132,5.33847,1.09094,5.33325,1.48404,5.34892,1.99388,5.35942,2.55557,5.32286,2.65367,5.31767,2.68895
123,5.38054,2.56156,5.56702,2.21103,5.81603,1.62344,6.07481,1.02137,5.6652,0.281363,5.36996,0.0338254,5.36469,0.00161237,5.34892,1.14443e-05,5.33847,1.27159e-06,5.32805,1.27159e-06,5.32805,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.33847,1.27159e-06,5.3125,1.27159e-06,5.30734,1.27159e-06,5.42868,1.27159e-06,5.35942,1.27159e-06,5.30734,1.27159e-06,5.3125,1.27159e-06,5.36469,1.27159e-06,5.35417,1.65306e-05,5.33847,0.00126014,5.36469,0.0172084,5.29704,0.108096,5.34369,0.387845,5.33847,0.815112,5.33325,1.33462,5.36469,1.67677,5.35417,2.19327,5.33325,2.58582,5.31767,2.68103,5.32286
121,2.62813,5.49422,2.38691,5.75474,1.83448,6.0546,1.53019,5.92326,0.468134,5.41254,0.0912642,5.33847,0.00585946,5.3125,0.000162763,5.34892,1.27159e-06,5.33847,1.27159e-06,5.31767,1.27159e-06,5.32805,1.27159e-06,5.35417,1.27159e-06,5.33325,1.27159e-06,5.32805,1.27159e-06,5.3125,1.27159e-06,5.52758,1.27159e-06,5.41254,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.33325,0.000147504,5.32805,0.00412884,5.32286,0.0394064,5.33847,0.187453,5.37525,0.508923,5.33325,1.00501,5.36996,1.33462,5.35417,1.84004,5.33847,2.48126,5.35942,2.64724,5.33847,2.68498
119,5.38054,2.58093,5.58982,2.125,6.02122,1.76854,6.09515,0.605796,5.73059,0.231076,5.43408,0.0215394,5.28167,0.00103761,5.32286,1.65306e-05,5.31767,1.27159e-06,5.33325,1.27159e-06,5.32286,1.27159e-06,5.31767,1.27159e-06,5.34369,1.27159e-06,5.33847,1.27159e-06,5.31767,1.27159e-06,5.43949,1.27159e-06,5.42868,1.27159e-06,5.36996,1.27159e-06,5.30218,1.27159e-06,5.35942,1.27159e-06,5.3125,1.27159e-06,5.34369,1.01727e-05,5.32805,0.000825259,5.32805,0.012342,5.30218,0.0808728,5.34369,0.307486,5.36469,0.572818,5.34369,1.22504,5.33325,1.76454,5.34892,2.07889,5.34369,2.5496,5.32805,2.6784,5.32286
117,2.63956,5.42329,2.46002,5.69473,1.92501,6.08835,1.01022,5.85343,0.64024,5.38585,0.0675313,5.35942,0.00474937,5.33325,9.15541e-05,5.32805,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.34369,1.27159e-06,5.32805,1.27159e-06,5.31767,1.27159e-06,5.34892,1.27159e-06,5.38585,1.27159e-06,5.50529,1.27159e-06,5.37525,1.27159e-06,5.34892,1.27159e-06,5.34369,1.27159e-06,5.33325,1.27159e-06,5.34369,1.27159e-06,5.32805,7.75667e-05,5.32286,0.00268686,5.34369,0.0279901,5.30734,0.14955,5.33325,0.531871,5.35417,0.852255,5.32805,1.42109,5.36469,1.93182,5.35417,2.32295,5.32805,2.63701,5.33325,2.72246
115,5.41791,2.54722,5.67108,2.20301,5.9426,1.27928,6.00137,0.566402,5.63596,0.153328,5.32805,0.0161199,5.32805,0.000607818,5.33847,5.08634e-06,5.31767,1.27159e-06,5.32286,1.27159e-06,5.32286,1.27159e-06,5.33847,1.27159e-06,5.30218,1.27159e-06,5.35417,1.27159e-06,5.30218,1.27159e-06,5.49975,1.27159e-06,5.41254,1.27159e-06,5.35417,1.27159e-06,5.33847,1.27159e-06,5.32286,1.27159e-06,5.34369,1.27159e-06,5.33325,5.08634e-06,5.33847,0.000415808,5.32286,0.00837975,5.30734,0.063414,5.34892,0.277165,5.35942,0.749863,5.33847,1.18645,5.3125,1.63169,5.37525,2.20478,5.33325,2.51903,5.32805,2.65367,5.32805
113,2.59196,5.47219,2.32295,5.87863,1.68922,6.0479,0.945507,5.866,0.339757,5.35942,0.0501742,5.33847,0.00251774,5.31767,5.84929e-05,5.33325,1.27159e-06,5.32805,1.27159e-06,5.32286,1.27159e-06,5.30734,1.27159e-06,5.31767,1.27159e-06,5.32286,1.27159e-06,5.30218,1.27159e-06,5.27657,1.27159e-06,5.47219,1.27159e-06,5.42329,1.27159e-06,5.34892,1.27159e-06,5.3125,1.27159e-06,5.32286,1.27159e-06,5.32805,1.27159e-06,5.32286,4.45055e-05,5.33325,0.00150683,5.34369,0.023125,5.34892,0.125129,5.32286,0.441813,5.35417,0.79948,5.33325,1.15582,5.34369,1.77429,5.36996,2.22092,5.33325,2.63447,5.33325,2.71569
111,5.37525,2.48013,5.82844,2.07101,6.06806,1.641,6.0546,0.471204,5.76081,0.110004,5.36469,0.0115765,5.32805,0.000265761,5.34892,2.54317e-06,5.32805,1.27159e-06,5.31767,1.27159e-06,5.34892,1.27159e-06,5.31767,1.27159e-06,5.30734,1.27159e-06,5.31767,1.27159e-06,5.26639,1.27159e-06,5.40718,1.27159e-06,5.40718,1.27159e-06,5.35417,1.27159e-06,5.32286,1.27159e-06,5.33847,1.27159e-06,5.30218,1.27159e-06,5.32286,1.27159e-06,5.33847,0.000203454,5.31767,0.00511813,5.32805,0.0491811,5.32805,0.200641,5.36469,0.633482,5.33847,1.01078,5.34369,1.58435,5.33325,1.99098,5.32805,2.55199,5.3125,2.67054,5.33325
109,2.54248,5.5841,2.30432,5.85343,1.57294,6.07481,0.935626,5.74264,0.269425,5.48869,0.0382645,5.3125,0.00175097,5.31767,3.0518e-05,5.33325,1.27159e-06,5.31767,1.27159e-06,5.30734,1.27159e-06,5.32805,1.27159e-06,5.31767,1.27159e-06,5.33325,1.27159e-06,5.3125,1.27159e-06,5.27657,1.27159e-06,5.43408,1.27159e-06,5.36469,1.27159e-06,5.31767,1.27159e-06,5.33847,1.27159e-06,5.30734,1.27159e-06,5.33325,1.27159e-06,5.33847,1.65306e-05,5.32805,0.000989293,5.32286,0.0142735,5.31767,0.0947032,5.33325,0.303234,5.34892,0.606065,5.33847,1.30123,5.34892,1.58665,5.35417,2.22726,5.34892,2.61805,5.31767,2.73336
